New Names,Cats,Cats 2
CEA <EMBRYONIC CARCINO ANTIGEN>#90.56.3,Test,
PSA <PROSTATIC SPECIFIC ANTIGEN>#90.56.5,Test,
PSA FREE#90.56.6,Test,
BLOOD CHROME+FORMULA#90.62.2,Test,
RHEUMATOID FACTOR <RHEUMA TEST>#90.64.2,Test,
FIBRINOGEN#90.65.1,Test,
BLOOD GROUP ABO and Rh#90.65.3,Test,Medical History
IgG IMMUNOGLOBULINS#90.69.4,Test,
PCR <C-REACTIVE PROTEIN>#90.72.3,Test,
RETICULOCYTES#90.74.5,Test,
PT <PROTHROMBIN TIME INR>#90.75.4,Test,
PTT <PARTIAL THROMBOPLASTIN TIME>#90.76.1,Test,
TROPONIN I#90.82.3,Test,
VES#90.82.5,Test,
VAGINAL swab#90.93.4,Test,
PHARYNGEAL SWAB#90.93.5,Test,
URINE CULTURE <URINE CULTURE>#90.94.2,Test,
TSHR#9042101,Test,
PSAR#9056501,Test,
TASO <Ab ANTI ANTISTREPTOLYSIN-O>#91.08.5,Test,
TOXOPLASMA ANTIBODY Total (E.I.A.)#91.09.4,Test,
TREPONEMA PALLIDUM TPHA quantitative#91.10.5,Test,
CYTOMEGALOVIRUS Ab <ANTIBODIES> f.c.#91.14.2,Test,
HEPATITIS B HBsAg Ab [HBV]#91.18.3,Test,
HEPATITIS B HBsAg Ag [HBV] [AU ANTIGEN]#91.18.5,Test,
HEPATITIS C RNA (P.C.R.) [HCV]#91.19.4,Test,
HEPATITIS C Ab [HCV]#91.19.5,Test,
HERPES VIRUS Ab f.c.#91.21.5,Test,
ANTI HIV Ab 1-2#91.22.4,Test,
RUBELLA VIRUS ANTIBODY <RUBEO TEST>#91.26.4,Test,
PAP TEST <VAGINAL CYTOLOGICAL>#91.38.5,Test,
HISTOPATHOLOGY Excisional SKIN BIOPSY#91.40.5,Procedure,
EMG <ELECTROMIGRAPHY>#93.08.1,Procedure,
PHYSIOKINESTHERAPY#93.16,Procedure,
MAGNETIC THERAPY#93.39.8,Procedure,
INTELLECTUAL IMPAIRMENT TEST#94.01.2,Procedure,
V. PSYCHIATRIC <PSYCHIATRIC INTERVIEW>#94.19.1,Procedure,
V. OPHELISTICS#95.02,Test,
FIELD OF VISION <CAMPIMETRY>#95.05,Procedure,
OPTICAL COHERENCE TOMOGRAPHY#95.17,Procedure,
TONE AUDIOMETRIC EXAM#95.41.1,Test,
WOUND DRESSING#96.59,Procedure,
INHALATION TREATMENTS#MW1E,Medication,
URINE COLLECTION BAGS#MW38,Medication,
HEIGHT#MW_1935,Medical History,
WEIGHT#MW_1946,Medical History,
BMI<BODY MASS INDEX>#MW_2609,Medical History,
CLEARANCE CREATININE (COCKROFT)#MW_3952,Test,
GFR estimated with MDRD formula#MW_5401,Test,
ACETYLCISTEINE#ACETILCISTEINA,Medication,
ACETYLSALICYLIC ACID#ACIDO ACETILSALICILICO,Medication,
ALGINIC ACID#ACIDO ALGINICO,Medication,
FOLIC ACID#ACIDO FOLICO,Medication,
URSODEOXYCHOLIC ACID#ACIDO URSODESOSSICOLICO,Medication,
ALFUZOSIN#ALFUZOSINA,Medication,
ALLOPURINOL#ALLOPURINOLO,Medication,
ALPRAZOLAM#ALPRAZOLAM,Medication,
AMIODARONE#AMIODARONE,Medication,
AMYTRIPTILINE#AMITRIPTILINA,Medication,
AMLODIPINE#AMLODIPINA,Medication,
AMOXICILLIN#AMOXICILLINA,Medication,
AMOXICILLIN AND ENZYME INHIBITORS#AMOXICILLINA ED INIBITORI ENZIMATICI,Medication,
MUSCLE-SKELETAL SYSTEM#APPARATO MUSCOLO SCHELETRICO,Medication,
ATENOLOL#ATENOLOLO,Medication,
ATORVASTATIN#ATORVASTATINA,Medication,
AZITHROMYCIN#AZITROMICINA,Medication,
BECLOMETHASONE#BECLOMETASONE,Medication,
BETAISTINA#BETAISTINA,Medication,
BETAMETHASONE#BETAMETASONE,Medication,
BIPHOSPHONATES#BIFOSFONATI,Medication,
BIMATOPROST#BIMATOPROST,Medication,
BISOPROLOL#BISOPROLOLO,Medication,
BRINZOLAMIDE#BRINZOLAMIDE,Medication,
BROMAZEPAM#BROMAZEPAM,Medication,
CALCIUM ASSOCIATIONS WITH VITAMIN D AND/OR OTHER DRUGS#CALCIO ASSOCIAZIONI CON VITAMINA D E/O ALTRI FARMACI,Medication,
CANRENONE#CANRENONE,Medication,
CARBOCYSTEINE#CARBOCISTEINA,Medication,
CARVEDILOLO#CARVEDILOLO,Medication,
CEFIXIME#CEFIXIMA,Medication,
CEFPODOXIME#CEFPODOXIMA,Medication,
CEFTRIAXONE#CEFTRIAXONE,Medication,
CETIRIZINE#CETIRIZINA,Medication,
CYANOCOBALAMIN#CIANOCOBALAMINA,Medication,
CIPROFLOXACIN#CIPROFLOXACINA,Medication,
CLARITHROMICIN#CLARITROMICINA,Medication,
CLOPIDOGREL#CLOPIDOGREL,Medication,
CHLORTETRACYCLINE#CLORTETRACICLINA,Medication,
CODEINE AND PARACETAMOL#CODEINA E PARACETAMOLO,Medication,
CHOLECALCIFEROL#COLECALCIFEROLO,Medication,
BENZODIAZEPE DERIVATIVES#DERIVATI BENZODIAZEPINICI,Medication,
DESAMETHASONE#DESAMETASONE,Medication,
DEXAMETHASONE AND ANTIMICROBIALS#DESAMETASONE ED ANTIMICROBICI,Medication,
DICLOFENAC#DICLOFENAC,Medication,
DIGOXIN#DIGOSSINA,Medication,
DIOSMINA ASSOCIATIONS#DIOSMINA ASSOCIAZIONI,Medication,
DOXAZOSIN#DOXAZOSIN,Medication,
DUTASTERIDE#DUTASTERIDE,Medication,
ELECTROLYTES#ELETTROLITI,Medication,
ENOXAPARIN#ENOXAPARINA,Medication,
EPERISON#EPERISONE,Medication,
EXITOPRAM#ESCITALOPRAM,Medication,
ESOMEPRAZOLE#ESOMEPRAZOLO,Medication,
ETORICOXIB#ETORICOXIB,Medication,
LACTIC FERMENTS#FERMENTI LATTICI,Medication,
FERROUS SULFATE#FERROSO SOLFATO,Medication,
FLUCONAZOLE#FLUCONAZOLO,Medication,
FLUNISOLIDE#FLUNISOLIDE,Medication,
FLUOXETINE#FLUOXETINA,Medication,
FORMOTEROL AND BUDESONIDE#FORMOTEROLO E BUDESONIDE,Medication,
PHOSPHOMYCIN#FOSFOMICINA,Medication,
FUROSEMIDE#FUROSEMIDE,Medication,
FUROSEMIDE AND POTASSIUM-SAVING DRUGS#FUROSEMIDE E FARMACI RISPARMIATORI DI POTASSIO,Medication,
GLIMEPIRIDE#GLIMEPIRIDE,Medication,
IBUPROFEN#IBUPROFENE,Medication,
HYDROCHLOROTHIAZIDE AND POTASSIUM-SAVING DRUGS#IDROCLOROTIAZIDE E FARMACI RISPARMIATORI DI POTASSIO,Medication,
HYDROXOCOBALAMINA#IDROXOCOBALAMINA,Medication,
INSULIN GLARGINE#INSULINA GLARGINE,Medication,
IRBESARTAN#IRBESARTAN,Medication,
ISOSORBIDE MONONITRATE#ISOSORBIDE MONONITRATO,Medication,
ITRACONAZOLE#ITRACONAZOLO,Medication,
KETOPROFEN#KETOPROFENE,Medication,
LANSOPRAZOLE#LANSOPRAZOLO,Medication,
LERCANIDIPINE#LERCANIDIPINA,Medication,
LEVODOPA AND DECARBOXYLASE INHIBITOR#LEVODOPA ED INIBITORE DELLA DECARBOSSILASI,Medication,
LEVOFLOXACIN#LEVOFLOXACINA,Medication,
LEVOSULPIRIDES#LEVOSULPIRIDE,Medication,
LEVOTHYROXINE SODIUM#LEVOTIROXINA SODICA,Medication,
LORAZEPAM#LORAZEPAM,Medication,
MACROGOL ASSOCIATIONS#MACROGOL ASSOCIAZIONI,Medication,
MAGALDRATO#MAGALDRATO,Medication,
MESALAZIN#MESALAZINA,Medication,
METFORMIN#METFORMINA,Medication,
METHYLPREDNISOLONE#METILPREDNISOLONE,Medication,
METHYLPREDNISOLONE ACEPONATE#METILPREDNISOLONE ACEPONATO,Medication,
METOPROLOL#METOPROLOLO,Medication,
METRONIDAZOLE#METRONIDAZOLO,Medication,
MINERALS/VITAMINS/AMINO ACIDS/PROTEINS#MINERALI/VITAMINE/AMINOACIDI/PROTEINE,Medication,
NEBIVOLOLO#NEBIVOLOLO,Medication,
NIMESULIS#NIMESULIDE,Medication,
OMEGA-3-TRIGLYCERIDES INCLUDING OTHER ESTERS AND ACIDS#OMEGA-3-TRIGLICERIDI INCLUSI ALTRI ESTERI E ACIDI,Medication,
OMEPRAZOLE#OMEPRAZOLO,Medication,
LACTIC ACID PRODUCING ORGANISMS#ORGANISMI PRODUTTORI DI ACIDO LATTICO,Medication,
OXAPROZINE#OXAPROZINA,Medication,
PANTOPRAZOLE#PANTOPRAZOLO,Medication,
PARACETAMOL#PARACETAMOLO,Medication,
PAROXETINE#PAROXETINA,Medication,
MULTIPURPOSE#POLIVALENTI,Medication,
POTASSIUM CHLORIDE#POTASSIO CLORURO,Medication,
PREDNISONE#PREDNISONE,Medication,
PREGABALIN#PREGABALIN,Medication,
PROMAZIN#PROMAZINA,Medication,
PRULIFLOXACIN#PRULIFLOXACINA,Medication,
QUETIAPINA#QUETIAPINA,Medication,
QUINAPRIL#QUINAPRIL,Medication,
RAMIPRIL#RAMIPRIL,Medication,
RAMIPRIL AND AMLODIPINE#RAMIPRIL E AMLODIPINA,Medication,
RAMIPRIL AND DIURETICS#RAMIPRIL E DIURETICI,Medication,
RIFAXIMIN#RIFAXIMINA,Medication,
ROSUVASTATIN#ROSUVASTATINA,Medication,
SALBUTAMOL#SALBUTAMOLO,Medication,
SALMETEROL AND FLUTICASONE#SALMETEROLO E FLUTICASONE,Medication,
SERTRALINA#SERTRALINA,Medication,
SIMVASTATIN#SIMVASTATINA,Medication,
TAMSULOSIN#TAMSULOSINA,Medication,
TAPENTADOLO#TAPENTADOLO,Medication,
THIAMPHENICOL#TIAMFENICOLO,Medication,
TIMOLOL#TIMOLOLO,Medication,
TIMOLOL ASSOCIATIONS#TIMOLOLO ASSOCIAZIONI,Medication,
THIOCOLCHICOSIDE#TIOCOLCHICOSIDE,Medication,
TRAZODONE#TRAZODONE,Medication,
VALACICLOVIR#VALACICLOVIR,Medication,
VALSARTAN#VALSARTAN,Medication,
VALSARTAN AND DIURETICS#VALSARTAN E DIURETICI,Medication,
VENLAFAXINE#VENLAFAXINA,Medication,
WARFARIN#WARFARIN,Medication,
Circulatory system affections#002,Medical History,
Arterial hypertension (St. II and III)#0031,Medical History,
Asthma#007,Medical History,
Chronic (active) hepatitis#016,Medical History,
GLAUCOMA#365.9,Medical History,
Congenital and acquired hypothyroidism#027,Medical History,
Psychosis#044,Medical History,
Malignant neoplasms#048,Medical History,
Hashimoto's thyroiditis#056,Medical History,
Circulatory system affections. cardiopulmonary#0A02,Medical History,
Arterial hypertension without organ damage#0A31,Medical History,
Civil disabled 100%#C01,SDoH,
100% civilian disabled with accompaniment#C02,SDoH,
Civilian disabled people over 2/3 < 100%#C03,SDoH,
Early diagnosis of tumors - mammographic (between 45 and 69 years every 2 years)#D03,Medical History,
Early colorectal diagnosis (everyone aged 45 and over every 5 years)#D04,Medical History,
Income and age exemption#E01,SDoH,
Unemployed income exemption#E02,SDoH,
Social pension income exemption#E03,SDoH,
Income exemption from regional anti-crisis measures#E99,SDoH,
Certificate issuing services#I01,SDoH,
Injured at work or suffering from professional illness#L04,SDoH,
Responsible maternity protection#M00,SDoH,
Pregnancy at risk#M50,SDoH,
Min Diastolic,Medical History,
Max Diastolic,Medical History,
Mean Diastolic,Medical History,
Mean Systolic,Medical History,
Min Systolic,Medical History,
Max Systolic,Medical History,
Gender,Medical History,
Age,Medical History,
SIDE OPENING ANEMIA#280.9,Medical History,
PSYCHOSIS#298.9,Medical History,SDoH
DEPRESSION#311,Medical History,SDoH
EPILEPSY#345.9,Medical History,
PAROXYSTICAL SUPRAVENTRICULAR TACHYCARDIA#427.0,Medical History,
Bronchopneumonia#485,Medical History,
CHRONIC KIDNEY INSUFFICIENCY#585,Medical History,
BENIGN PROSTATIC HYPERTROPHY transvesical adenomyomectomy#600,Medical History,
PSORIASIS#696.1,Medical History,
RIGHT HUMERUS FRACTURE composed of the head#812.20,Medical History,
SKULL CT <BENCEPHALON>#87.03,Test,
CHEST CT + CONTRAST#87.41.1,Test,
ECO UMMS#88.73.1,Test,
OBSTETRICAL ULTRASOUND <FETOPLACENTARY ULTRASOUND>#88.78,Test,
MRI LUMBOSACRAL SPINE#88.93,Test,
OTHER SUBSTANCES FOR TREATMENT OF HAEMORROIDS AND ANAL FISCALS TOPICAL#ALTRE SOSTANZE X TRATT.DI EMORROIDI E RAGADI ANALI U.TOPICO,Medication,
