Old,New
'''182.0''',K BODY OF THE UTERUS EXCEPT LISTMO#182.0
'''183.0''',K OVARY#183.0
'''185''',K PROSTATE#185
'''185.0''',K PROSTATE#185.0
'''186.0''',K TESTICLE#186.0
'''186.9''',K TESTICLE#186.9
'''187.1''',K FORESKIN#187.1
'''187.4''',K PENIS#187.4
'''188.0''',K BLADDER TRIGONE#188.0
'''188.9''',K BLADDER#188.9
'''189.0''',K RIGHT KIDNEY#189.0
'''191.9''',K BRAIN#191.9
'''193''',K Papillary THYROID#193
'''193.0''',K THYROID#193.0
'''195.3''',K K PELVIS#195.3
'''197.0''',META LUNG#197.0
'''197.7''',LIVER METASTASES from K colon#197.7
'''198.3''',BRAIN AND SPINAL CORD METASTASIS#198.3
'''200.1''',NODAL MARGINAL B LYMPHOMA#200.1
'''201.6''',HODGKIN DISEASE MIXED CELLULARITY#201.6
'''201.9''',HODGKIN'S DISEASE#201.9
'''202.0''',Lymphoma#202.0
'''202.4''',HAIRY CELL LEUKEMIA#202.4
'''202.9''',LYMPHOMA with gastric localization#202.9
'''203.0''',MULTIPLE MYELOMA#203.0
'''204.1''',CHRONIC LYMPHOID LEUKEMIA#204.1
'''204.11''',CHRONIC LYMPHOID LEUKEMIA IN REMISSION#204.11
'''205.0''',ACUTE MYELOID LEUKEMIA#205.0
'''205.1''',CHRONIC MYELOID LEUKEMIA#205.1
'''207.2''',ESSENTIAL THROMBOCYTHEMIA#207.2
'''208.8''',OTHER ACUTE LEUKEMIAS ACUTE LYMPHOBLASTIC#208.8
'''211.3''',COLON POLYPS#211.3
'''211.9''',TB INTESTINAL TRACT#211.9
'''214.0''',Inflammatory LIPOMA of the back#214.0
'''218.0''',UTERUS FIBROMYOMA#218.0
'''218.9''',UTERINE FIBROMYOMA#218.9
'''218.O''',UTERUS FIBROMA#218.O
'''220.0''',TB OVARY#220.0
'''221.9''',ADENOMATOUS POLYP with low grade dysplasia of the colon#221.9
'''225.1''',TB CRANIAL NERVES#225.1
'''225.2''',CEREBRAL MENINGIOMA#225.2
'''227.0''',TB ADRENAL GLANDS#227.0
'''227.3''',PITUITARY ADENOMA#227.3
'''233.0''',K IN SITU BREAST#233.0
'''235.0''',UNCERTAIN PAROTID TUMOUR#235.0
'''235.5''',UNCERTAIN PANCREAS CANCER#235.5
'''235.7''',MULTIPLE PULMONARY NODULES OF NDD#235.7
'''237.2''',UNCERTAIN TUMOR ADRENAL GLANDS on the left (1 cm)#237.2
'''237.7''',NEUROFIBROMATOSIS RECKLINGHAUSEN#237.7
'''238.4''',POLYCYTHEMIA VERA#238.4
'''238.7''',CHRONIC MYELOPROLIFERATIVE DISEASE#238.7
'''239.3''',BREAST NODULE#239.3
'''239.7''',ENDOCRINE GLAND CANCER NATURE UNSPECIFIED#239.7
'''239.9''',Papillary neoplasm on lateral neck cyst#239.9
'''240.9''',GOITER#240.9
'''241.0''',THYROID NODULE#241.0
'''241.1''',NON-TOXIC MULTINODULAR GOITER#241.1
'''241.9''',NON-TOXIC NODULAR GOITER#241.9
'''242.0''',Graves disease#242.0
'''242.1''',TOXIC UNINODULAR GOITER#242.1
'''242.10''',Toxic uninodular goiter without thyrotoxic crisis#242.10
'''242.2''',TOXIC MULTINODULAR GOITER#242.2
'''242.3''',TOXIC NODULAR GOITER#242.3
'''242.9''',SUSPENDED HYPERTHYROIDISM Hashitoxicosis#242.9
'''243''',CONGENITAL HYPOTHYROIDISM#243
'''244.0''',POST-SURGICAL HYPOTHYROIDISM#244.0
'''244.3''',IATROGENIC HYPOTHYROIDISM#244.3
'''244.8''',ACQUIRED HYPOTHYROIDISM OTHER#244.8
'''244.9''',HYPOTHYROIDISM from chronic thyroiditis#244.9
'''245.1''',SUBACUTE THYROIDITIS#245.1
'''245.2''',HASHIMOTO THYROIDITIS#245.2
'''245.8''',CHRONIC THYROIDITIS#245.8
'''245.9''',THYROIDITIS#245.9
'''246.2''',THYROID CYSTS#246.2
'''251.1''',HYPERINSULINISM#251.1
'''252.0''',PRIMARY HYPERPARATHYROIDISM Parathyroid adenoma#252.0
'''252.1''',HYPOPARATHYROIDISM#252.1
'''253.0''',ACROMEGALY AND GIGANTISM#253.0
'''253.1''',HYPERPROLACTINEMIA#253.1
'''253.3''',ISOLATED GROWTH HORMONE DEFICIT GH DEVELOPMENTAL AGE#253.3
'''272.0''',HYPERCHOLESTEROLEMIA#272.0
'''272.1''',ISOLATED OR SPORADIC HYPERTRIGLYCERIDEMIA#272.1
'''272.2''',DYSLIPIDEMIA#272.2
'''272.4''',DYSLIPIDEMIA - HYPERLIPIDEMIA -#272.4
'''273.1''',MONOCLONAL GAMMAPATHY of uncertain significance#273.1
'''274.0''',GOUTY ARTHROPATHY < GOUT >#274.0
'''274.9''',GOUT#274.9
'''275.4''',Parathyroid-free hypocalcemia#275.4
'''277.4''',GILBERT SYNDROME#277.4
'''277.5''',MUCOPOLYSACCHARIDOSIS#277.5
'''277.8''',HISTOCYTOSIS#277.8
'''278.0''',OBESITY#278.0
'''278.00''',OBESITY#278.00
'''278.01''',SEVERE OBESITY#278.01
'''279.00''',HYPOGAMMAGLOBULINEMIA#279.00
'''280''',IRON FREE ANEMIA#280
'''280.9''',SIDE OPENING ANEMIA#280.9
'''281.0''',PERNICIOUS ANEMIA#281.0
'''281.1''',VITAMIN B12 DEFICIENCY ANEMIA < MEGALOBLASTIC >#281.1
'''281.9''',MACROCYTIC ANEMIA#281.9
'''282.4''',THALASSEMIA MINOR#282.4
'''282.7''',HEMOGLOBINOPATHY#282.7
'''284.9''',APLASTIC ANEMIA#284.9
'''285.9''',mild normochromic ANEMIA macrocytic#285.9
'''287.0''',SCHOENLEIN-HENOCH VASCULAR PURPURA#287.0
'''287.2''',PURPLE#287.2
'''287.3''',PRIMARY THROMBOCYTOPENIA#287.3
'''287.5''',THROATLINE PENIA#287.5
'''288.0''',NEUTROPENIA#288.0
'''288.3''',EOSINOPHILIA Disease caused by eosinophilic infiltrates#288.3
'''289.0''',SUSPECTED: POLYCYTHEMIA probably. secondary to the s. disventitaloria#289.0
'''289.3''',LYMPHADENITIS right armpit#289.3
'''289.8''',MYELOFIBROSIS#289.8
'''290.0''',SENILE DEMENTIA#290.0
'''290.1''',PRESENILE DEMENTIA#290.1
'''290.20''',SENILE PSYCHOSIS#290.20
'''290.4''',ARTERIOSCLEROTIC DEMENTIA#290.4
'''290.40''',ARTERIOSCLEROTIC DEMENTIA#290.40
'''291.0''',DELIRIUM TREMENS#291.0
'''295.0''',SCHIZOPHRENIC PSYCHOSIS SIMPLE TYPE#295.0
'''295.3''',PARANOID TYPE SCHIZOPHRENIC PSYCHOSIS#295.3
'''295.70''',SCHIZOAFFECTIVE TYPE#295.70
'''296.0''',MANIC DEPRESSIVE PSYCHOSIS OF MANIC TYPE#296.0
'''296.2''',ENDOGENOUS DEPRESSION#296.2
'''296.3''',MAJOR DEPRESSION RECURRING EPISODE#296.3
'''296.7''',BIPOLAR AFFECTIVE SYNDROME#296.7
'''296.8''',MANIC-DEPRESSIVE PSYCHOSIS#296.8
'''296.80''',MANIC-DEPRESSIVE PSYCHOSIS#296.80
'''298.0''',DEPRESSIVE PSYCHOSIS#298.0
'''298.9''',PSYCHOSIS#298.9
'''300.0''',ANXIETY#300.0
'''300.00''',ANXIETY#300.00
'''300.01''',PANIC ATTACK#300.01
'''300.4''',ANXIOUS DEPRESSION#300.4
'''300.7''',BODY DYSMORPHIC SYNDROME#300.7
'''302.72''',ERECTILE DYSFUNCTION#302.72
'''302.75''',PSYCHOSEXUAL DYSFUNCTION WITH PREMATURE EJACULATION#302.75
'''303.0''',CHRONIC ALCOHOLISM#303.0
'''303.9''',CHRONIC ALCOHOLISM#303.9
'''304.3''',CANNABIS DRUG ADDICTION#304.3
'''306.2''',HEART PALM#306.2
'''307.4''',INSOMNIA#307.4
'''307.51''',BULIMIA#307.51
'''307.8''',TENSION HEADACHE#307.8
'''307.81''',TENSION HEADACHE#307.81
'''308.0''',ANXIETY EMOTIONAL CRISIS OR PANIC STATE DUE TO STRESS#308.0
'''310.1''',COGNITIVE DEFICIT#310.1
'''311''',DEPRESSION#311
'''311.''',DEPRESSION#311.
'''315.02''',DYSLEXIA DEVELOPMENT#315.02
'''316.''',FUNCTIONAL COLONPATHY < SPASTIC COLITIS >#316.
'''322.9''',VIRAL MENINGITIS FROM TUSCANY VIRUS#322.9
'''331.0''',ALZHEIMER'S DISEASE#331.0
'''331.4''',ACQUIRED HYDROCEPHALUS#331.4
'''332.0''',PARKINSON'S DISEASE#332.0
'''332.1''',SECONDARY PARKINSONISM#332.1
'''333.0''',PROGRESSIVE SUPRANUCLEAR PARALYSIS#333.0
'''333.1''',BENIGN ESSENTIAL TREMOR#333.1
'''333.6''',DYSTONIA MUSCULORUM DEFORMANS#333.6
'''333.9''',EXTRAPYRAMIDAL SYNDROME#333.9
'''333.90''',EXTRAPYRAMIDAL DISEASES AND MOVEMENT DISORDERS#333.90
'''335.20''',AMYOTROPHIC LATERAL SCLEROSIS#335.20
'''336.0''',SYRINGOMYELIA - SYRINGOBULBIA -#336.0
'''336.9''',Lumbar spondylogenous myelopathy#336.9
'''340''',MULTIPLE SCLEROSIS < SAP >#340
'''341.0''',OPTICAL NEUROMYELITIS#341.0
'''342.9''',LEFT HEMIPARESIS#342.9
'''343.2''',TETRAPLEGIA in cervical myelic fracture#343.2
'''343.9''',CONGENITAL SPASTIC CEREBRAL PALSY#343.9
'''345.0''',GENERALIZED NON-CONVULSIVE EPILEPSY#345.0
'''345.1''',GENERALIZED CONVULSIVE EPILEPSY#345.1
'''345.5''',PARTIAL EPILEPSY#345.5
'''345.9''',EPILEPSY#345.9
'''346.0''',MIGRAINE WITH AURA#346.0
'''346.1''',Common migraine#346.1
'''346.9''',MIGRAINE#346.9
'''348.3''',MULTIINFARTUAL ENCEPHALOPATHY#348.3
'''350.1''',TRIGEMINAL NEURALGIA#350.1
'''351.0''',BELL PARALYSIS#351.0
'''354.0''',LEFT CARPAL TUNNEL SYNDROME#354.0
'''355.6''',METARSALGIA MORTON NEURALGIA OR NEURINOMA on the right#355.6
'''357.7''',POLYNEUROPATHY DUE TO OTHER TOXIC AGENTS#357.7
'''357.9''',TOXIC AND INFLAMMATORY NEUROPATHIES#357.9
'''358.0''',SEVERE MYASTHENIA#358.0
'''359.0''',BENIGN CONGENITAL MYOPATHY#359.0
'''359.9''',GAIT DISORDERS#359.9
'''361.9''',RETINAL DETACHMENT#361.9
'''362.34''',AMAUROSIS FUGAX#362.34
'''362.35''',CENTRAL RETINA VEIN OCCLUSION#362.35
'''362.5''',MACULAR DEGENERATION#362.5
'''362.50''',MACULOPATHY#362.50
'''364.0''',IRIDOCYCLITIS#364.0
'''364.02''',RECURRENT ANTERIOR UVEITIS#364.02
'''364.3''',UVEITIS#364.3
'''365.0''',GLAUCOMA LIMIT#365.0
'''365.04''',Ocular hypertension#365.04
'''365.1''',OPEN ANGLE GLAUCOMA#365.1
'''365.11''',Simple chronic GLAUCOMA#365.11
'''365.9''',GLAUCOMA#365.9
'''366.1''',SENILE CATARACT Interv. of phacoemulsification and implantation#366.1
'''366.9''',CATARACT#366.9
'''368.2''',DIPLOPIA#368.2
'''368.4''',VISUAL FIELD DEFECTS right homonymous hemianopia#368.4
'''369.0''',THEY GIVE DEEP VISION IN BOTH EYES#369.0
'''369.20''',VISION DEFICIT#369.20
'''369.24''',MODERATE BLINDNESS BETTER EYE OTHER SERIOUS IMPAIRMENT#369.24
'''369.60''',BLINDNESS?ɂǨ RIGHT#369.60
'''369.9''',HYPOVISUS#369.9
'''370.9''',HERPETIC KERATITIS#370.9
'''371.6''',KERATOCONUS#371.6
'''372.30''',CONJUNCTIVITIS#372.30
'''373.2''',CALAZIO SX#373.2
'''374.30''',EYELID PTOSIS#374.30
'''377.3''',OPTICAL NEURITIS OD#377.3
'''377.31''',OPTICAL PAPILLITIS#377.31
'''378.0''',EXOTROPIA#378.0
'''378.54''',SIXTH NERVE PARESIS OR ABDUCENT NERVE OS#378.54
'''379.21''',VITREAL DETACHMENT#379.21
'''379.23''',VITREAL HEMORRHAGE#379.23
'''380.1''',INFECTIOUS OTITIS EXTERNAL#380.1
'''380.10''',ACUTE OTITIS EXTERNAL#380.10
'''381.1''',CHRONIC SEROUS OTITIS MEDIA#381.1
'''381.4''',CATARRAL OTITIS MEDIA#381.4
'''382.9''',OTITIS MEDIA#382.9
'''385.30''',CHOLESTEATOMA#385.30
'''386.0''',MENIERE DISEASE#386.0
'''386.11''',BENIGN PAROXYSTICAL POSTURAL VERTIGO#386.11
'''386.12''',VESTIBULAR NEURONITIS#386.12
'''387.2''',COCHLEAR OTOSCLEROSIS Au right#387.2
'''387.9''',OTOSCLEROSIS#387.9
'''388.01''',PRESBYACUSIS#388.01
'''388.3''',TINNITUS#388.3
'''388.30''',TINNITUS Au left#388.30
'''389.1''',NEUROSENSORIAL DEAFNESS#389.1
'''389.7''',DEAF MUTE#389.7
'''389.9''',HEARING IMPAIRMENT#389.9
'''394.0''',Mitral stenosis#394.0
'''394.9''',RHEUMATIC MITRAL VALVULOPATHY#394.9
'''397.9''',CHRONIC RHEUMATIC VALVULOPATHY#397.9
'''401.0''',ESSENTIAL HYPERTENSION#401.0
'''401.1''',BENIGN ARTERIAL HYPERTENSION#401.1
'''401.9''',ARTERIAL HYPERTENSION#401.9
'''402.9''',HYPERTENSIVE HEART DISEASE#402.9
'''410''',ACUTE MYOCARDIAL INFARCTION#410
'''410.''',ACUTE MYOCARDIAL INFARCTION#410.
'''410.7''',NON Q heart attack#410.7
'''410.9''',ACUTE MYOCARDIAL INFARCTION#410.9
'''410.90''',ACUTE MYOCARDIAL INFARCTION#410.90
'''411.1''',INTERMEDIATE CORONARY SYNDROME#411.1
'''412''',PREVIOUS MYOCARDIAL INFARCTION#412
'''413.9''',ANGINA PECTORIS#413.9
'''414.0''',ARTERIOSCLEROTIC HEART DISEASE#414.0
'''414.8''',CHRONIC MYOCARDIAL ISCHEMIA#414.8
'''414.9''',CHRONIC CARDIAC ISCHEMIA#414.9
'''415.1''',PULMONARY EMBOLISM#415.1
'''416.9''',CHRONIC HEART OF LUNG#416.9
'''424.0''',MITRAL INSUFFICIENCY#424.0
'''424.1''',AORTIC STENOSIS#424.1
'''424.2''',TRICUSPIS INSUFFICIENCY#424.2
'''425.1''',STENOSING HYPERTROPHIC MYOCARDIOPATHY#425.1
'''425.4''',DILATED CARDIOMYOPATHY#425.4
'''425.9''',MYOCARDIOPATEDIES#425.9
'''426.0''',COMPLETE ATRIOVENTRICULAR BLOCK#426.0
'''426.1''',AV BLOCK 1?ɬ? GRADE#426.1
'''426.11''',I GRADE ATRIOVENTRICULAR BLOCK#426.11
'''426.2''',LEFT BRANCH HEMIBLOCK#426.2
'''426.3''',COMPLETE SN BRANCH BLOCK#426.3
'''426.7''',WOLFF-PARKINSON-WHITE SYNDROME#426.7
'''426.8''',OTHER SPECIFIED CONDUCTION DISORDERS#426.8
'''426.9''',CONDUCTION DISORDERS BRUGADA SYNDROME#426.9
'''427.0''',PAROXYSTICAL SUPRAVENTRICULAR TACHYCARDIA#427.0
'''427.3''',ATRIAL FIBRILLATION#427.3
'''427.31''',ATRIAL FIBRILLATION#427.31
'''427.32''',ATRIAL FLUTTER#427.32
'''427.5''',CARDIAC ARREST#427.5
'''427.6''',VENTRICULAR EXTRASYSTOLES#427.6
'''427.60''',EXTRASYSTOLE#427.60
'''427.81''',SINOATRIAL NODE DYSFUNCTION#427.81
'''427.9''',CARDIAC ARRHYTHMIA#427.9
'''428.0''',CONGESTIVE HEART FAILURE CONGESTIVE HEART FAILURE#428.0
'''428.1''',CARDIAC ASTHMA#428.1
'''428.9''',HEART FAILURE#428.9
'''429.0''',SENILE MYOCARDITIS#429.0
'''430''',SUBARACHNOID HEMORRHAGE#430
'''431''',CEREBRAL HEMORRHAGE IN THE RIGHT FRONTAL SITE#431
'''431.''',CEREBRAL HEMORRHAGE#431.
'''432.1''',SUBDURAL HEMORRHAGE#432.1
'''433.1''',CAROTID ARTERY STENOSIS#433.1
'''433.10''',CAROTID STENOSIS#433.10
'''434.0''',Cerebral thrombosis#434.0
'''434.9''',CEREBRAL STROKE < CEREBRAL ARTERY OCCLUSION >#434.9
'''435''',TRANSIENT CEREBRAL ISCHEMIA < TIA >#435
'''435.''',TRANSIENT CEREBRAL ISCHEMIA < TIA >#435.
'''435.9''',TRANSIENT CEREBRAL ISCHEMIA#435.9
'''436''',STROKE#436
'''437.0''',CEREBRAL ARTERIOSCLEROSIS#437.0
'''437.1''',MULTINFARTUAL ENCEPHALOPATHY#437.1
'''437.9''',CIRCULATORY DISORDERS BRAIN#437.9
'''438''',AFTERMATH OF CEREBROVASCULAR DISEASES#438
'''440.0''',AORTA ATHEROSCLEROSIS#440.0
'''440.20''',ATHEROSCLEROSIS LOWER LIMBS#440.20
'''440.21''',Atherosclerosis native arteries of the limbs with intermittent claudication#440.21
'''440.9''',ARTERIOSCLEROSIS#440.9
'''441.4''',NOT RUPTURED ABDOMINAL AORTA ANEURYSM#441.4
'''441.6''',UNRUPTURATED AORTIC ANEURYSM#441.6
'''441.9''',Thoracic AORTA DILATION#441.9
'''442.2''',ILIAC ARTERY ANEURYSM#442.2
'''442.3''',RIGHT SUPERFICIAL FEMOR ARTERY ANEURYSM#442.3
'''442.9''',POST-TRAUMATIC A. TEMPORAL ANEURYSM LEFT#442.9
'''443.0''',RAYNAUD SYNDROME#443.0
'''443.9''',PERIPHERAL OBLITERANT ARTERIAL DISEASE PAD#443.9
'''444.22''',EMBOLISM AND THROMBOSIS OF THE ARTERIES OF THE LOWER LIMBS#444.22
'''444.9''',EMBOLISM AND ARTERIAL THROMBOSIS right upper limb#444.9
'''446.4''',CHURG-STRAUSS SYNDROME#446.4
'''446.5''',HORTON DISEASE#446.5
'''447.0''',ACQUIRED ARTEROVENOUS FISTULA#447.0
'''447.1''',STENOSIS OF THE LEFT SUBCLAVIA ARTERIES#447.1
'''447.9''',Obliterating ARTERIOPATHY of the lower limbs#447.9
'''448.9''',VASCULITIS#448.9
'''451.0''',SUPERFICIAL PHLEBITIS OF LOWER LIMBS < THROMBOPHLEBITIS >#451.0
'''451.1''',DEEP VENOUS THROMBOSIS right lower limb#451.1
'''451.19''',POPLITEAL THROMBOPHLEBITIS#451.19
'''451.9''',PERIPHLEBITIS internal saphenous vein right#451.9
'''453.8''',VENOUS THROMBOSIS dural sinuses#453.8
'''453.9''',ASCENDING VENOUS THROMBOSIS GR. SAFENA SN#453.9
'''454.0''',VARICOSE ULCERS EXTREMIT?ɂǨ LOW#454.0
'''454.9''',VARICOSE OF LOWER LIMBS#454.9
'''455.0''',INTERNAL HEMORRHOIDS#455.0
'''455.6''',HEMORRHOIDS#455.6
'''455.7''',THROMBIZED HEMORRHOIDS#455.7
'''455.8''',HEMORRHOID CRISIS#455.8
'''456.1''',ESOPHAGEAL VARICES WITHOUT BLEEDING#456.1
'''456.4''',VARICOCELE#456.4
'''457.1''',NONFILARIAL ELEPHANTYASIS lower limbs#457.1
'''459.81''',VENOUS INSUFFICIENCY LOWER LIMBS#459.81
'''460''',PHARYNGITIS#460
'''460.''',COLD < RINOPHARYNGITIS >#460.
'''461.0''',MAXILLARY SINUSITIS#461.0
'''461.1''',ACUTE FRONTAL SINUSITIS#461.1
'''461.9''',Acute mucopurulent SINUSITIS#461.9
'''462''',ACUTE PHARYNGITIS#462
'''463''',TONSILLITIS#463
'''465.9''',PARAINFLUENZA SYNDROME#465.9
'''466.0''',BRONCHITIS#466.0
'''470''',NASAL SEPTAL DEVIATION#470
'''471.0''',NASAL CAVITY POLYPS#471.0
'''472.0''',CHRONIC RHINITIS#472.0
'''473.2''',CHRONIC ETHMOIDAL SINUSITIS#473.2
'''473.9''',CHRONIC SINUSITIS#473.9
'''477.9''',ALLERGIC RHINITIS#477.9
'''478.0''',NASAL TURBINATE HYPERTROPHY#478.0
'''478.4''',POLYP VOCAL CORDS OR LARYNX#478.4
'''478.5''',VOCAL CORD GRANULOMA#478.5
'''481''',LOBAR PNEUMONIA#481
'''485''',Bronchopneumonia#485
'''485.''',Right midthoracic BRONCHOPNEUMONITIS#485.
'''486''',PNEUMONIA#486
'''487.1''',INFLUENCE#487.1
'''490''',BRONCHITIS#490
'''491.2''',CHRONIC OBSTRUCTIVE BRONCHITIS < COPD > flared up#491.2
'''491.20''',CHRONIC ASTHMATIC BRONCHITIS#491.20
'''491.21''',CHRONIC OBSTRUCTIVE BRONCHITIS WITH FLARE#491.21
'''491.9''',CHRONIC ASTHATIFORM BRONCHITIS#491.9
'''493.0''',Extrinsic asthma#493.0
'''493.9''',Bronchial asthma#493.9
'''494''',BRONCHIECTASIA#494
'''496''',COPD CHRONIC OBSTRUCTIVE BRONCHITIS#496
'''506.4''',CHRONIC LUNG FIBROSIS#506.4
'''511.9''',Exudative pleurisy (viral?)#511.9
'''512.''',PNEUMOTHORAX#512.
'''512.8''',ACUTE PNEUMOTHORAX on the RIGHT#512.8
'''516.3''',INTERSTITIAL IDIOPATHIC DIFFUSED LUNG FIBROSIS#516.3
'''518.4''',ACUTE PULMONARY EDEMA#518.4
'''518.81''',CHRONIC RESPIRATORY INSUFFICIENCY#518.81
'''519.4''',DIAPHRAGM RELAXATION#519.4
'''522.5''',TOOTH ABSCESS#522.5
'''522.9''',TOOTH ABSCESS#522.9
'''523.3''',PERIODONTAL ABSCESS#523.3
'''523.4''',ALVEOLAR PYORRHEA#523.4
'''528.4''',DERMOID CYST LEFT OVARY#528.4
'''530.0''',CARDIAC ACHALASIA#530.0
'''530.1''',GASTROESOPHAGEAL REFLUX WITH GRADE I AND II ESOPHAGITIS < GERD >#530.1
'''530.11''',REFLUX ESOPHAGITIS 1 AND 2 GRADE#530.11
'''530.2''',GASTROESOPHAGEAL REFLUX WITH GRADE III AND IV ESOPHAGITIS < GERD#530.2
'''530.5''',GASTROESOPHAGEAL REFLUX < GERD >#530.5
'''530.7''',MALLORY-WEISS SYNDROME#530.7
'''530.81''',GASTROESOPHAGEAL REFLUX#530.81
'''531.0''',ACUTE GASTRIC ULCER WITH HEMORRHAGE of the stump#531.0
'''531.3''',ACUTE GASTRIC ULCER#531.3
'''531.9''',GASTRIC ULCER#531.9
'''532.0''',ACUTE DUODENAL ULCER WITH HEMORRHAGE#532.0
'''532.00''',ACUTE DUODENAL ULCER WITH HEMORRHAGE#532.00
'''532.10''',ACUTE DUODENAL ULCER WITH PERFORATION#532.10
'''532.30''',ACUTE DUODENAL ULCER#532.30
'''532.4''',DUODENAL ULCER WITH HEMORRHAGE#532.4
'''532.5''',DUODENAL ULCER WITH PERFORATION#532.5
'''532.70''',Chronic duodenal ulcer#532.70
'''532.9''',DUODENAL ULCER#532.9
'''533.9''',GASTRODUODENAL ULCER#533.9
'''534.4''',GASTRODIJUNAL ULCER WITH HEMORRHAGE#534.4
'''535.0''',ACUTE GASTRITIS#535.0
'''535.1''',CHRONIC ATROPHIC GASTRITIS#535.1
'''535.2''',HYPERTROPHIC GASTRITIS#535.2
'''535.4''',SUPERFICIAL GASTRITIS#535.4
'''535.5''',GASTRITIS AND GASTRODUODENITIS#535.5
'''536.8''',DYSPEPSIA#536.8
'''540.0''',ACUTE APPENDICITIS#540.0
'''540.1''',ACUTE APPENDICITIS WITH PERITONEAL ABSCESS#540.1
'''540.9''',ACUTE APPENDICITIS#540.9
'''550.9''',INGUINAL HERNIA#550.9
'''552.2''',IRREDIUCIBLE INCARCERATED PAROCELE STROKED OR WITH OCCLUSION#552.2
'''553.1''',UMBILICAL HERNIA#553.1
'''553.2''',Operated sub-umbilical LAPAROCELE#553.2
'''553.20''',LAPAROCELE#553.20
'''553.29''',EPIGASTRIC HERNIA#553.29
'''553.3''',HIATAL HERNIA#553.3
'''555.0''',CROHN'S DISEASE#555.0
'''555.1''',REGIONAL ENTERITIS OR COLON CROHN'S DISEASE#555.1
'''555.9''',CROHN'S DISEASE#555.9
'''556.9''',ULCEROUS COLITIS#556.9
'''560.9''',INTESTINAL OCCLUSION#560.9
'''562.00''',DIVERTICULUS WITHOUT DUODENAL DIVERTICULITIS#562.00
'''562.1''',COLON DIVERTICULUS#562.1
'''564.0''',CONSTIPATION#564.0
'''564.1''',IRRITABLE COLON#564.1
'''564.5''',FUNCTIONAL DIARRHEA#564.5
'''565.0''',ANAL FISCALE#565.0
'''565.1''',ANAL FISTULA#565.1
